id,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
289,-0.1781597592599904,-1.531128374232463,-0.2586346427185449,-0.25224091160819895,-1.6083589994805234,-1.2925095475327482,-1.0802462336614922,-1.1478359761740446,-1.6305793356648473,-1.339297004557945,-0.6524443167242062,-0.9624249381805003,-0.6717858577217443,-0.43886984221241,-1.2343763503754626,-1.2145992306500326,-0.9901919278925527,-1.387563715449177,-0.695268942041841,-0.8430858788811252,-0.2690395121166662,-1.4228025524307801,-0.3509132965168006,-0.3197346631695651,-1.8471828291861956,-1.2462297911780147,-1.2396728030689732,-1.4085550162784555,-1.0252777028703315,-1.2205786667460634
264,-0.30596614752914103,-1.2681697889425074,-0.3813814394298973,-0.3534909646538355,-0.9137842860319182,-1.269578257445741,-1.057634730706828,-1.0340845141064543,-1.309296316629368,-1.0798754620329765,-0.027690062252299388,-0.7046066703786713,-0.1480434716279038,-0.16120826655967901,-0.9643654029719109,-1.160665825097876,-0.9636331525180014,-1.1314346535066666,-0.7654944741069921,-0.5756621800192121,-0.31873931931657273,-1.3478944083623676,-0.39618777091774154,-0.36596776747217563,-1.3487687445685714,-1.2455300374898255,-1.2183238233725022,-1.2072593988449662,-1.2841226006934874,-1.005565294984006
432,0.04621145570140746,-0.5747037852574909,-0.06874781961809742,-0.06339249806240503,-2.282295734763136,-1.4704639391996859,-1.023849303471402,-1.1006071945310156,-1.1084944297321944,-1.2811752381998918,-0.9924319006135974,-0.9018258520117383,-1.001030716881492,-0.6505262889461083,-1.183040935683923,-1.2166112540695948,-0.8974848917536695,-1.3281949778488231,-0.6274649800479022,-0.913062377168896,-0.2814644639166429,-0.8186520861398859,-0.3818905684753391,-0.34452123239643995,-2.0470744937294123,-1.2971209685008604,-1.1203583929450998,-1.2375603276416867,-0.7162816060939394,-1.2604780553204662
347,-0.07023436472159615,-0.7282902156038368,-0.14824490607880508,-0.16578019215349815,-1.8574380463114786,-1.0618700431039267,-0.8581236849252786,-1.0423901764161514,-0.7470510333172797,-1.1422500405635705,-0.5452507791285065,-1.0796315539440342,-0.5727797355868027,-0.37880517489609017,-1.104371079403382,-0.6331244623965248,-0.39833906842221445,-0.7753844375701182,-0.4930678410956306,-0.6902723366743176,-0.1572149459168769,-0.9293858643279744,-0.22640849191421406,-0.23781593083109975,-2.083458283547585,-0.8331206592598129,-0.782420835682307,-1.0542320951228352,-0.5803880347367827,-0.9817364934742933
148,0.13709599847058146,-0.837662370547447,0.0292848569500299,0.028472016358214492,-1.4361386299574066,-1.31127151214939,-0.9332024121151133,-0.7776665357813036,-0.6557774483640186,-1.4527053291590246,-0.32184067888696377,-0.5540161269054003,-0.4514972359714995,-0.2516352931787538,-0.6700201356171748,-1.087450528441581,-0.8809395373068516,-0.8876335261478364,-0.6783179515433564,-1.0969681796959996,0.039513457582753035,-0.6395239155415072,-0.10607370469066114,-0.0699352669185792,-1.3706866902421697,-1.1666487126394145,-1.0781401859048871,-0.8599407124865774,-0.5998014020735191,-1.4959952795443696
421,-0.5530584981828329,-1.2123201779074726,-0.606279932733247,-0.5503028655178257,-1.3535867172934324,-1.3686944947639612,-0.9738805184855255,-1.1315341793425895,-0.5060887690406707,-0.8941693304987092,-0.6997249679869559,-1.119909988463391,-0.7069330310796484,-0.5394176552657365,-0.5660159188395104,-1.1016464714573817,-0.685147316849017,-1.094126430424477,-0.09350877934563348,-1.0760130553438778,-0.7080544757158401,-1.499339134413724,-0.7643407338096009,-0.6460032623545267,-1.4145225815893663,-1.2782912328914076,-1.1083645841268575,-1.463066234917782,-0.9832154069740687,-1.3064731838159578
290,-0.10999635218310991,-0.3210534684733741,-0.15854245613848228,-0.19877178247173932,-1.20413928919486,-0.7690696862078469,-0.7531641265127335,-0.9190175589401233,-1.23627744866676,-0.9919840104671396,-0.560048540210741,-0.8336065214744492,-0.640103898638563,-0.4151079958015582,-1.401049774698643,-0.5341999776013777,-0.46730567613640506,-0.9680895202729062,-0.878097482418355,-0.6880028286217413,-0.1924189760168106,-0.5239048236098265,-0.2999795128157426,-0.2719194374269416,-1.5455918967174835,-0.45716208678728887,-0.5554979728411643,-0.828573921872887,-0.8910019121245697,-0.7650606471883021
352,-0.4848950911059524,-0.9889217337673332,-0.5502612604086031,-0.5073569160518394,-1.2169490687461662,-1.3343923170305045,-0.9826689982569109,-0.9760222598855596,-0.9697585806032377,-0.7453209044597923,-1.04620912991245,-0.9840156305579935,-1.044048876949124,-0.6893373047504995,-1.2587106703266469,-1.1484260159622055,-0.8422121345134984,-1.3032146893503136,-0.40468053349638866,-0.9210056553529131,-0.6355755902159765,-0.8642483477467455,-0.69732259736084,-0.5927385072074128,-1.2567133727394586,-1.1228186861701133,-1.0063212587012529,-1.1280810924414755,0.00039520475392393085,-0.8930711855311764
233,-0.4650140973751955,-0.5677225838781113,-0.5263709442701521,-0.4928519927222678,-0.8006312333287123,-1.2508162928290991,-1.058714458221598,-1.0961448355882282,-2.178220845384414,-0.8601468331183848,-0.843010605783228,-0.9103532683288995,-0.900489999853459,-0.6082830064379273,-0.7043548610277498,-1.2556221525933307,-0.970629284358239,-1.3635566849441156,-0.8006072401395676,-0.92705767682645,-0.6065840360160311,-0.9717252501057726,-0.6785575191551867,-0.591332177038512,-0.963012900713242,-1.302400928148106,-1.2128546465513836,-1.3211543472869103,-1.5915009168584848,-1.230553513889664
276,0.20809954750899856,-0.5467789797399732,0.12031519947757607,0.05350011935825967,-0.5067179580681859,-0.6367883599208154,-0.6947835108885309,-0.519726712498786,-0.8711831088537154,-0.8176187113929808,-0.36948225115171923,-0.995264562721057,-0.6207977048222494,-0.3612038071843481,-0.4283436703485636,-0.4934006138158086,-0.5730765793134572,-0.5701892106180753,-0.6093032045138115,-0.6153785709392983,0.008451078082811059,-0.8365649031997237,-0.14777387848100138,-0.18121114153284668,-0.46328373935520123,-0.6314643691180362,-0.7205327821801772,-0.5313507409120914,-0.6078903051304927,-0.8686882258468195
231,-0.07875479060620653,-0.48394816732555906,-0.14536159206209576,-0.18824860280126574,-0.605637922381051,-0.8145532367936457,-0.9365922543126476,-0.9675102457172364,-0.7214944295303675,-0.5525267526379575,-0.6737386558425439,-0.6545307788140655,-0.6787162862711901,-0.49343408211881035,-0.8140259742324024,-0.9115102583087433,-0.7548765360908165,-1.1325701211656898,-0.9773818553380511,-0.7893741883034849,-0.161356596516869,-0.341519777182387,-0.20734555532434432,-0.2719194374269416,-0.7306826765731004,-0.7586923124251509,-0.9165116182702551,-0.9678972879482599,-0.8683529835650433,-0.6719620738480296
